season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,qbelo1_pre,qbelo2_pre,qb1,qb2,qb1_value_pre,qb2_value_pre,qb1_adj,qb2_adj,qbelo_prob1,qbelo_prob2,qb1_game_value,qb2_game_value,qb1_value_post,qb2_value_post,qbelo1_post,qbelo2_post,score1,score2,quality,importance,total_rating
2006,0,,SF,GB,1391.583,1383.79,0.6032511599788658,0.3967488400211342,1360.577,1414.796,1391.23527095,1375.02169435,Alex Smith,Brett Favre,34.71403339173,100.11161387106,-0.380801669653,-2.23251236306,0.613688834602,0.386311165398,-25.483986770616,222.57912857565,28.694231375495395,112.358365341519,1359.5791305,1406.6778348,19,30,4.0,,
2006,0,,CHI,GB,1659.308,1435.067,0.8409087261706395,0.1590912738293605,1601.299,1493.077,1658.96179567,1428.62376884,Rex Grossman,Brett Favre,71.19219227736,83.09532646667999,-0.30586135011,-10.4647604555,0.846219421703,0.1537805782969999,-199.22381149242,105.05553405666,44.150591900382,85.29134722567801,1600.37162306,1487.21394145,7,26,63.0,,
2007,0,,NYG,GB,1474.844,1510.03,0.5428007901341221,0.4571992098658779,1440.337,1544.536,1480.20261956,1496.82311927,Eli Manning,Brett Favre,103.08324682524,72.50448948764999,10.3176729464,-9.6649865372,0.587426216406,0.412573783594,110.73130995795,273.88739123559,103.848053138511,92.64277966244398,1442.30791555,1534.71782328,13,35,42.0,,
2007,0,,MIN,GB,1440.166,1567.131,0.4117588275226934,0.5882411724773066,1423.51,1583.787,1440.39453825,1555.7038253,Kelly Holcomb,Brett Favre,83.23398067709999,115.5114478353,20.9927342735,12.2773715696,0.427741180567,0.572258819433,11.892973663725,325.42552942877995,76.0998799757625,136.50285599464803,1423.00496285,1573.0934007,16,23,55.0,,
2007,0,,DEN,GB,1504.058,1561.193,0.5113167118425422,0.4886832881574577,1484.087,1581.164,1495.44252914,1554.15370916,Jay Cutler,Brett Favre,126.03925493939998,123.52164961652998,13.8092152102,13.3495152157,0.464743593086,0.535256406914,181.47561550602,291.40277199693,131.582890996062,140.30976185456998,1477.55506518,1572.04117312,13,19,68.0,,
2007,0,,KC,GB,1539.576,1581.164,0.533641672207645,0.466358327792355,1512.77,1607.97,1520.86251073,1572.04117312,Damon Huard,Brett Favre,77.82465794433,140.30976185456998,-5.88854499014,21.076095574,0.505559478618,0.494440521382,-4.678544677488,243.54217485774,69.5743376821482,150.633003154887,1495.69294985,1597.21073399,22,33,74.0,,
2007,0,,DET,GB,1456.934,1633.082,0.3452873835439078,0.6547126164560921,1440.599,1649.417,1477.83667927,1618.28430596,Jon Kitna,Brett Favre,97.52507604279,183.11408323065,1.11007889527,38.3670070567,0.33190115917,0.6680988408299999,-1.7245413648011998,414.2310512406,87.60011430203089,206.225780031645,1462.20532149,1633.91566375,26,37,78.0,,
2007,0,,DAL,GB,1659.851,1649.417,0.6068840177656659,0.3931159822343341,1678.079,1631.189,1663.28499794,1633.91566375,Tony Romo,Brett Favre,187.13174428278,206.22578003181,33.7224782176,48.0045051044,0.60474042084,0.39525957916,327.02531413893,-89.24364647450999,201.12110126839497,176.67883738117797,1681.62497441,1615.57568727,37,27,99.0,,
2007,0,,LAR,GB,1392.268,1639.183,0.2597656555507541,0.7402343444492459,1377.893,1653.558,1409.17964602,1623.53749766,Marc Bulger,Brett Favre,66.78186560892,183.77186597319,-14.183005863,32.8357823937,0.235355033945,0.764644966055,-51.8618829498,140.22618805635,54.917490753048,179.417298181506,1396.27876857,1636.43837511,14,33,56.0,,
2007,0,,CHI,GB,1452.815,1653.558,0.3140183357204326,0.6859816642795673,1502.051,1604.322,1453.93586496,1636.43837511,Kyle Orton,Brett Favre,26.486997959301,179.41729818177,-23.0050779474,29.0167093782,0.263241159959,0.736758840041,123.48520671234,-48.94865640225,36.1868188346049,156.580702723368,1507.94255617,1582.43168389,35,7,68.0,,
2008,0,,DET,GB,1415.273,1589.867,0.347312438000252,0.652687561999748,1394.245,1610.895,1414.37637281,1547.00337677,Jon Kitna,Aaron Rodgers,88.93735371213,121.95035371794,0.771768399019,0.707841667888,0.391802046154,0.6081979538460001,-37.27604777754,332.28167067479995,76.316013563163,142.983485413626,1390.30872167,1571.07102791,25,48,37.0,,
2008,0,,TB,GB,1499.661,1580.568,0.4771239686661038,0.5228760313338963,1523.916,1556.313,1516.00053394,1546.07836108,Brian Griese,Aaron Rodgers,102.51043884378,138.91009765314,-2.31546256944,8.59287078048,0.526954976753,0.473045023247,-37.97461735188,-43.42950757035,88.46193322421401,120.676137130791,1537.60098316,1524.47791186,30,21,66.0,,
